DATE,WPU56
2009-06-01,100.0
2009-07-01,100.5
2009-08-01,100.2
2009-09-01,100.7
2009-10-01,99.7
2009-11-01,100.6
2009-12-01,99.4
2010-01-01,100.6
2010-02-01,101.4
2010-03-01,101.0
2010-04-01,101.8
2010-05-01,101.2
2010-06-01,100.7
2010-07-01,101.6
2010-08-01,102.2
2010-09-01,103.0
2010-10-01,102.6
2010-11-01,102.9
2010-12-01,101.3
2011-01-01,103.6
2011-02-01,102.9
2011-03-01,104.0
2011-04-01,103.9
2011-05-01,103.4
2011-06-01,103.7
2011-07-01,104.2
2011-08-01,104.5
2011-09-01,103.6
2011-10-01,103.8
2011-11-01,103.9
2011-12-01,104.8
2012-01-01,104.8
2012-02-01,104.0
2012-03-01,105.0
2012-04-01,104.9
2012-05-01,104.3
2012-06-01,105.8
2012-07-01,105.1
2012-08-01,106.6
2012-09-01,107.0
2012-10-01,105.2
2012-11-01,105.6
2012-12-01,106.7
2013-01-01,105.5
2013-02-01,104.7
2013-03-01,106.3
2013-04-01,107.8
2013-05-01,106.1
2013-06-01,106.2
2013-07-01,107.0
2013-08-01,106.1
2013-09-01,107.0
2013-10-01,108.0
2013-11-01,107.7
2013-12-01,107.2
2014-01-01,106.7
2014-02-01,106.6
2014-03-01,106.5
2014-04-01,107.2
2014-05-01,108.7
2014-06-01,108.9
2014-07-01,108.0
2014-08-01,108.1
2014-09-01,108.8
2014-10-01,108.9
2014-11-01,107.6
2014-12-01,108.2
2015-01-01,109.1
2015-02-01,109.3
2015-03-01,110.9
2015-04-01,109.9
2015-05-01,109.9
2015-06-01,111.1
2015-07-01,110.3
2015-08-01,110.2
2015-09-01,110.5
2015-10-01,110.7
2015-11-01,110.9
2015-12-01,108.7
2016-01-01,112.0
2016-02-01,111.6
2016-03-01,112.8
2016-04-01,112.5
2016-05-01,112.1
2016-06-01,112.8
2016-07-01,111.7
2016-08-01,112.4
2016-09-01,114.4
2016-10-01,111.2
2016-11-01,112.4
2016-12-01,112.5
2017-01-01,112.1
2017-02-01,111.8
2017-03-01,113.7
2017-04-01,114.8
2017-05-01,112.6
2017-06-01,112.2
2017-07-01,113.7
2017-08-01,112.2
2017-09-01,113.2
2017-10-01,111.9
2017-11-01,113.1
2017-12-01,113.8
2018-01-01,112.5
2018-02-01,113.5
2018-03-01,116.0
2018-04-01,113.9
2018-05-01,114.2
2018-06-01,114.9
2018-07-01,114.9
2018-08-01,114.1
2018-09-01,114.7
2018-10-01,115.6
2018-11-01,115.7
2018-12-01,115.6
2019-01-01,115.8
2019-02-01,115.9
2019-03-01,118.0
2019-04-01,117.5
2019-05-01,115.9
2019-06-01,115.8
2019-07-01,114.7
2019-08-01,119.2
2019-09-01,116.1
2019-10-01,116.8
2019-11-01,118.3
2019-12-01,115.3
2020-01-01,115.2
2020-02-01,116.1
2020-03-01,114.7
2020-04-01,116.6
2020-05-01,119.9
2020-06-01,121.3
2020-07-01,118.2
2020-08-01,118.4
2020-09-01,117.9
2020-10-01,114.8
2020-11-01,114.2
2020-12-01,116.4
2021-01-01,116.2
2021-02-01,116.6
2021-03-01,118.0
2021-04-01,117.1
2021-05-01,116.1
2021-06-01,116.7
2021-07-01,118.769
2021-08-01,117.894
2021-09-01,117.875
2021-10-01,119.443
2021-11-01,121.227
2021-12-01,119.910
2022-01-01,121.225
2022-02-01,121.057
2022-03-01,122.727
2022-04-01,120.764
2022-05-01,120.783
2022-06-01,120.268
2022-07-01,121.838
2022-08-01,120.404
2022-09-01,123.472
2022-10-01,124.013
2022-11-01,122.505
2022-12-01,123.411
2023-01-01,125.941
2023-02-01,126.825
2023-03-01,127.190
2023-04-01,126.513
2023-05-01,125.378
2023-06-01,125.329
2023-07-01,125.212
2023-08-01,123.885
2023-09-01,124.185
2023-10-01,126.428
2023-11-01,127.576
2023-12-01,130.091
2024-01-01,129.364
2024-02-01,129.489
2024-03-01,131.774
2024-04-01,130.028
2024-05-01,129.055
2024-06-01,126.566
2024-07-01,127.189
2024-08-01,125.874
