DATE,B087RC1Q027SBEA
1947-01-01,7.712
1947-04-01,7.296
1947-07-01,10.68
1947-10-01,7.844
1948-01-01,7.472
1948-04-01,7.244
1948-07-01,7
1948-10-01,7.028
1949-01-01,7.676
1949-04-01,8.152
1949-07-01,8.472
1949-10-01,8.5
1950-01-01,16.588
1950-04-01,9.588
1950-07-01,7.192
1950-10-01,7.54
1951-01-01,7.54
1951-04-01,7.896
1951-07-01,8.1
1951-10-01,8.04
1952-01-01,7.652
1952-04-01,7.632
1952-07-01,8.504
1952-10-01,8.536
1953-01-01,8.564
1953-04-01,8.428
1953-07-01,8.596
1953-10-01,9.22
1954-01-01,9.892
1954-04-01,10.524
1954-07-01,10.856
1954-10-01,11.448
1955-01-01,11.356
1955-04-01,11.436
1955-07-01,11.604
1955-10-01,11.612
1956-01-01,11.908
1956-04-01,12.116
1956-07-01,12.544
1956-10-01,12.632
1957-01-01,13.36
1957-04-01,14.484
1957-07-01,14.576
1957-10-01,15.704
1958-01-01,16.84
1958-04-01,18.628
1958-07-01,18.972
1958-10-01,18.324
1959-01-01,18.4
1959-04-01,18.288
1959-07-01,18.52
1959-10-01,19.104
1960-01-01,18.88
1960-04-01,19.468
1960-07-01,20.12
1960-10-01,21
1961-01-01,22.66
1961-04-01,23.428
1961-07-01,23.472
1961-10-01,22.868
1962-01-01,23.3
1962-04-01,23.148
1962-07-01,23.504
1962-10-01,24.06
1963-01-01,25.28
1963-04-01,24.188
1963-07-01,24.348
1963-10-01,24.76
1964-01-01,25.52
1964-04-01,24.948
1964-07-01,25.068
1964-10-01,25.116
1965-01-01,26.236
1965-04-01,25.728
1965-07-01,29.176
1965-10-01,27.908
1966-01-01,28.66
1966-04-01,28.264
1966-07-01,29.788
1966-10-01,32.82
1967-01-01,35.56
1967-04-01,36.06
1967-07-01,36.884
1967-10-01,37.576
1968-01-01,39.304
1968-04-01,41.832
1968-07-01,42.772
1968-10-01,43.532
1969-01-01,44.568
1969-04-01,45.348
1969-07-01,46.124
1969-10-01,46.984
1970-01-01,48.276
1970-04-01,57.476
1970-07-01,56.948
1970-10-01,59.844
1971-01-01,61.024
1971-04-01,67.868
1971-07-01,67.228
1971-10-01,68.2
1972-01-01,70.224
1972-04-01,70.24
1972-07-01,70.336
1972-10-01,80.62
1973-01-01,82.18
1973-04-01,83.628
1973-07-01,85.06
1973-10-01,87.308
1974-01-01,94.116
1974-04-01,100.656
1974-07-01,106.388
1974-10-01,111.96
1975-01-01,120.54
1975-04-01,134.168
1975-07-01,136.776
1975-10-01,137.844
1976-01-01,141.335
1976-04-01,139.635
1976-07-01,145.351
1976-10-01,147.699
1977-01-01,149.804
1977-04-01,148.924
