DATE,APU000074714
1976-01-01,0.605
1976-02-01,0.600
1976-03-01,0.594
1976-04-01,0.592
1976-05-01,0.600
1976-06-01,0.616
1976-07-01,0.623
1976-08-01,0.628
1976-09-01,0.630
1976-10-01,0.629
1976-11-01,0.629
1976-12-01,0.626
1977-01-01,0.627
1977-02-01,0.637
1977-03-01,0.643
1977-04-01,0.651
1977-05-01,0.659
1977-06-01,0.665
1977-07-01,0.667
1977-08-01,0.667
1977-09-01,0.666
1977-10-01,0.665
1977-11-01,0.664
1977-12-01,0.665
1978-01-01,0.648
1978-02-01,0.647
1978-03-01,0.647
1978-04-01,0.649
1978-05-01,0.655
1978-06-01,0.663
1978-07-01,0.674
1978-08-01,0.682
1978-09-01,0.688
1978-10-01,0.690
1978-11-01,0.695
1978-12-01,0.705
1979-01-01,0.716
1979-02-01,0.730
1979-03-01,0.755
1979-04-01,0.802
1979-05-01,0.844
1979-06-01,0.901
1979-07-01,0.949
1979-08-01,0.988
1979-09-01,1.020
1979-10-01,1.028
1979-11-01,1.041
1979-12-01,1.065
1980-01-01,1.131
1980-02-01,1.207
1980-03-01,1.252
1980-04-01,1.264
1980-05-01,1.266
1980-06-01,1.269
1980-07-01,1.271
1980-08-01,1.267
1980-09-01,1.257
1980-10-01,1.250
1980-11-01,1.250
1980-12-01,1.258
1981-01-01,1.298
1981-02-01,1.382
1981-03-01,1.417
1981-04-01,1.412
1981-05-01,1.400
1981-06-01,1.391
1981-07-01,1.382
1981-08-01,1.376
1981-09-01,1.376
1981-10-01,1.371
1981-11-01,1.369
1981-12-01,1.365
1982-01-01,1.358
1982-02-01,1.334
1982-03-01,1.284
1982-04-01,1.225
1982-05-01,1.237
1982-06-01,1.309
1982-07-01,1.331
1982-08-01,1.323
1982-09-01,1.307
1982-10-01,1.295
1982-11-01,1.283
1982-12-01,1.260
1983-01-01,1.230
1983-02-01,1.187
1983-03-01,1.152
1983-04-01,1.215
1983-05-01,1.259
1983-06-01,1.277
1983-07-01,1.288
1983-08-01,1.285
1983-09-01,1.274
1983-10-01,1.255
1983-11-01,1.241
1983-12-01,1.231
1984-01-01,1.216
1984-02-01,1.209
1984-03-01,1.210
1984-04-01,1.227
1984-05-01,1.236
1984-06-01,1.229
1984-07-01,1.212
1984-08-01,1.196
1984-09-01,1.203
1984-10-01,1.209
1984-11-01,1.207
1984-12-01,1.193
1985-01-01,1.148
1985-02-01,1.131
1985-03-01,1.159
1985-04-01,1.205
1985-05-01,1.231
1985-06-01,1.241
1985-07-01,1.242
1985-08-01,1.229
1985-09-01,1.216
1985-10-01,1.204
1985-11-01,1.207
1985-12-01,1.208
1986-01-01,1.194
1986-02-01,1.120
1986-03-01,0.981
1986-04-01,0.888
1986-05-01,0.923
1986-06-01,0.955
1986-07-01,0.890
1986-08-01,0.843
1986-09-01,0.860
1986-10-01,0.831
1986-11-01,0.821
1986-12-01,0.823
1987-01-01,0.862
1987-02-01,0.905
1987-03-01,0.912
1987-04-01,0.934
1987-05-01,0.941
1987-06-01,0.958
1987-07-01,0.971
1987-08-01,0.995
1987-09-01,0.990
1987-10-01,0.976
1987-11-01,0.976
1987-12-01,0.961
1988-01-01,0.933
1988-02-01,0.913
1988-03-01,0.904
1988-04-01,0.930
1988-05-01,0.955
1988-06-01,0.955
1988-07-01,0.967
1988-08-01,0.987
1988-09-01,0.974
1988-10-01,0.957
1988-11-01,0.949
1988-12-01,0.930
1989-01-01,0.918
1989-02-01,0.926
1989-03-01,0.940
1989-04-01,1.065
1989-05-01,1.119
1989-06-01,1.114
1989-07-01,1.092
1989-08-01,1.057
1989-09-01,1.029
1989-10-01,1.027
1989-11-01,0.999
1989-12-01,0.980
1990-01-01,1.042
1990-02-01,1.037
1990-03-01,1.023
1990-04-01,1.044
1990-05-01,1.061
1990-06-01,1.088
1990-07-01,1.084
1990-08-01,1.190
1990-09-01,1.294
1990-10-01,1.378
1990-11-01,1.377
1990-12-01,1.354
1991-01-01,1.247
1991-02-01,1.143
1991-03-01,1.082
1991-04-01,1.104
1991-05-01,1.156
1991-06-01,1.160
1991-07-01,1.127
1991-08-01,1.140
1991-09-01,1.143
1991-10-01,1.122
1991-11-01,1.134
1991-12-01,1.123
1992-01-01,1.073
1992-02-01,1.054
1992-03-01,1.058
1992-04-01,1.079
1992-05-01,1.136
1992-06-01,1.179
1992-07-01,1.174
1992-08-01,1.158
1992-09-01,1.158
1992-10-01,1.154
1992-11-01,1.159
1992-12-01,1.136
1993-01-01,1.117
1993-02-01,1.108
1993-03-01,1.098
1993-04-01,1.112
1993-05-01,1.129
1993-06-01,1.130
1993-07-01,1.109
1993-08-01,1.097
1993-09-01,1.085
1993-10-01,1.127
1993-11-01,1.113
1993-12-01,1.070
1994-01-01,1.043
1994-02-01,1.051
1994-03-01,1.045
1994-04-01,1.064
1994-05-01,1.080
1994-06-01,1.106
1994-07-01,1.136
1994-08-01,1.182
1994-09-01,1.177
1994-10-01,1.152
1994-11-01,1.163
1994-12-01,1.143
1995-01-01,1.129
1995-02-01,1.120
1995-03-01,1.115
1995-04-01,1.140
1995-05-01,1.200
1995-06-01,1.226
1995-07-01,1.195
1995-08-01,1.164
1995-09-01,1.148
1995-10-01,1.127
1995-11-01,1.101
1995-12-01,1.101
1996-01-01,1.129
1996-02-01,1.124
1996-03-01,1.162
1996-04-01,1.251
1996-05-01,1.323
1996-06-01,1.299
1996-07-01,1.272
1996-08-01,1.240
1996-09-01,1.234
1996-10-01,1.227
1996-11-01,1.250
1996-12-01,1.260
1997-01-01,1.261
1997-02-01,1.255
1997-03-01,1.235
1997-04-01,1.231
1997-05-01,1.226
1997-06-01,1.229
1997-07-01,1.205
1997-08-01,1.253
1997-09-01,1.277
1997-10-01,1.242
1997-11-01,1.213
1997-12-01,1.177
1998-01-01,1.131
1998-02-01,1.082
1998-03-01,1.041
1998-04-01,1.052
1998-05-01,1.092
1998-06-01,1.094
1998-07-01,1.079
1998-08-01,1.052
1998-09-01,1.033
1998-10-01,1.042
1998-11-01,1.028
1998-12-01,0.986
1999-01-01,0.972
1999-02-01,0.955
1999-03-01,0.991
1999-04-01,1.177
1999-05-01,1.178
1999-06-01,1.148
1999-07-01,1.189
1999-08-01,1.255
1999-09-01,1.280
1999-10-01,1.274
1999-11-01,1.264
1999-12-01,1.298
2000-01-01,1.301
2000-02-01,1.369
2000-03-01,1.541
2000-04-01,1.506
2000-05-01,1.498
2000-06-01,1.617
2000-07-01,1.593
2000-08-01,1.510
2000-09-01,1.582
2000-10-01,1.559
2000-11-01,1.555
2000-12-01,1.489
2001-01-01,1.472
2001-02-01,1.484
2001-03-01,1.447
2001-04-01,1.564
2001-05-01,1.729
2001-06-01,1.640
2001-07-01,1.482
2001-08-01,1.427
2001-09-01,1.531
2001-10-01,1.362
2001-11-01,1.263
2001-12-01,1.131
2002-01-01,1.139
2002-02-01,1.130
2002-03-01,1.241
2002-04-01,1.407
2002-05-01,1.421
2002-06-01,1.404
2002-07-01,1.412
2002-08-01,1.423
2002-09-01,1.422
2002-10-01,1.449
2002-11-01,1.448
2002-12-01,1.394
2003-01-01,1.473
2003-02-01,1.641
2003-03-01,1.748
2003-04-01,1.659
2003-05-01,1.542
2003-06-01,1.514
2003-07-01,1.524
2003-08-01,1.628
2003-09-01,1.728
2003-10-01,1.603
2003-11-01,1.535
2003-12-01,1.494
2004-01-01,1.592
2004-02-01,1.672
2004-03-01,1.766
2004-04-01,1.833
2004-05-01,2.009
2004-06-01,2.041
2004-07-01,1.939
2004-08-01,1.898
2004-09-01,1.891
2004-10-01,2.029
2004-11-01,2.010
2004-12-01,1.882
2005-01-01,1.823
2005-02-01,1.918
2005-03-01,2.065
2005-04-01,2.283
2005-05-01,2.216
2005-06-01,2.176
2005-07-01,2.316
2005-08-01,2.506
2005-09-01,2.927
2005-10-01,2.785
2005-11-01,2.343
2005-12-01,2.186
2006-01-01,2.315
2006-02-01,2.310
2006-03-01,2.401
2006-04-01,2.757
2006-05-01,2.947
2006-06-01,2.917
